IN,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,,,,,,,,
,,,,,,,,1,WYSE,Update ,Melanie ,3/10/2025,5
,,,,,,,,9,KEYBOARD USED,1296544,Melanie ,3/4/2025,1
,,,,,,,,12,MOUSE USED,31216372,Ronald ,2/25/2025,2
,,,,,,,,1,WYSE,31231781,Ronald ,2/25/2025,1
,,,,,,,,11,MONITORS USED,Update ,IT TEAM ,2/25/2025,15
,,,,,,,,70,Cable HDMI,Update,Andres A,2/25/2025,3
,,,,,,,,16,PHONE,Update ,Melanie ,2/18/2025,23
,,,,,,,,14,MOUSE NEW,Update ,Melanie ,2/17/2025,20
,,,,,,,,81,not exist,Update,Melanie ,2/17/2025,5
,,,,,,,,32,KEYBOARD ERGONOMIC,Update,Melanie,2/17/2025,5
,,,,,,,,31,DISPLAYPORT ADAPTER,Update ,Melanie ,2/17/2025,32
,,,,,,,,6,HEADSET-VARIOS 3.5,Update ,Melanie,2/17/2025,5
,,,,,,,,26,UPS USED,31126790,Ronald ,2/13/2025,1
,,,,,,,,11,MONITORS USED,,Pablo ,2/11/2025,1
,,,,,,,,11,MONITORS USED,No ticket,Ronald,2/11/2025,1
,,,,,,,,12,MOUSE USED,Update ,Andres A ,2/10/2025,1
,,,,,,,,9,KEYBOARD USED,Update,Andres A,2/10/2025,1
,,,,,,,,59,Cable de red 1m ,Update ,Andres A,2/10/2025,1
,,,,,,,,63,Cable de red 3m ,Update,Andres A,2/10/2025,1
,,,,,,,,9,KEYBOARD USED,31104342,Stiven,2/10/2025,1
,,,,,,,,11,MONITORS USED,31087955,Jose D ,2/9/2025,1
,,,,,,,,1,WYSE,31087955,Jose D,2/9/2025,1
,,,,,,,,9,KEYBOARD USED,31065648,Pablo ,2/7/2025,1
,,,,,,,,14,MOUSE NEW,31065648,Pablo ,2/7/2025,1
,,,,,,,,8,KEYBOARD COMBO,Update ,Melanie ,2/5/2025,15
,,,,,,,,16,PHONE,Update ,Melanie ,2/5/2025,5
,,,,,,,,14,MOUSE NEW,Update ,Melanie ,1/30/2025,1
,,,,,,,,14,MOUSE NEW,Update ,Jose Daniel ,1/30/2025,1
,,,,,,,,20,LAPTOPS NEW,Update ,Melanie ,1/29/2025,2
,,,,,,,,16,PHONE,Update ,Melanie ,1/29/2025,3
,,,,,,,,79,Mouse Wireless ,Update ,Melanie ,1/29/2025,15
,,,,,,,,8,KEYBOARD COMBO,Update ,Melanie ,1/29/2025,15
,,,,,,,,14,MOUSE NEW,Update ,Melanie,1/23/2025,2
,,,,,,,,12,MOUSE USED,Update ,Melanie,1/22/2025,3
,,,,,,,,9,KEYBOARD USED,30864564,Stiven,1/20/2025,1
,,,,,,,,8,KEYBOARD COMBO,Update,Andres A,1/20/2025,2
,,,,,,,,16,PHONE,Update,Andres A,1/20/2025,2
,,,,,,,,10,MONITORS NEW,Update,Melanie ,1/17/2025,2
,,,,,,,,1,WYSE,Update,Melanie ,1/17/2025,1
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Melanie ,1/17/2025,2
,,,,,,,,9,KEYBOARD USED,Update,Melanie ,1/17/2025,1
,,,,,,,,14,MOUSE NEW,Update,Melanie ,1/17/2025,1
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Melanie ,1/17/2025,2
,,,,,,,,59,Cable de red 1m ,Update,Melanie ,1/17/2025,1
,,,,,,,,63,Cable de red 3m ,Update,Melanie ,1/17/2025,1
,,,,,,,,16,PHONE,30810591,Pablo,1/15/2025,1
,,,,,,,,9,KEYBOARD USED,30801638,Melanie,1/14/2025,1
,,,,,,,,6,HEADSET-VARIOS 3.5,Update ,Melanie ,1/13/2025,5
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Melanie,1/9/2025,13
,,,,,,,,9,KEYBOARD USED,30746733,Stiven,1/9/2025,2
