EQUIPMENT,,,,,,,OUT,,,,,,,IN,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,BRAND,IN,OUT,AVAILABLE,,PRODUCT CODE,EQUIPMENT DESCRIPTION,Ticket ,TECH,DATE,QUANTITY,,PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,
35,MEMORY 4GB DDR4 LAPTOP,,8,2,6,,1,WYSE,32145873,Kevin ,6/9/2025,1,,12,MOUSE USED,Update ,Melanie ,5/16/2025,7,
36,MEMORY 8 GB DESKTOP,,2,2,0,,1,WYSE,32137778,Stiven,6/8/2025,1,,9,KEYBOARD USED,Update ,Melanie ,5/16/2025,3,
37,MEMORY 16 GB DESKTOP,,8,2,6,,16,PHONE,32106942,Kevin ,6/6/2025,1,,7,KEYBOARD NEW,Update ,Melanie ,5/16/2025,2,
38,SSD DATA DRIVE 1 TB M2,,4,2,2,,79,Mouse Wireless ,No ticket,Kevin ,6/5/2025,1,,5,HEADSET-PLANTRONICS,Update ,Melanie ,5/16/2025,2,
39,MEMORY 4GB DDR3 LAPTOP,,12,3,9,,79,Mouse Wireless ,32097204,Pablo,6/3/2025,2,,1,WYSE,Update ,Melanie ,5/16/2025,5,
40,DISCO MECANICO,,34,0,34,,7,KEYBOARD NEW,No ticket,Ronald ,6/1/2025,1,,12,MOUSE USED,Update ,Stiven ,5/7/2025,1,
41,HEADSET USADOS,,8,5,3,,7,KEYBOARD NEW,32080367,Stiven,6/1/2025,1,,31,DISPLAYPORT ADAPTER,31619287,Ronald,5/5/2025,2,
42,MEMORY 8GB LAPTOP,,7,3,4,,16,PHONE,32067433,Kevin ,5/30/2025,1,,11,MONITORS USED,31619288,Ronald,5/5/2025,3,
43,SSD SATA 240 GB,,4,4,0,,20,LAPTOPS NEW,32049150,Andres A,5/28/2025,1,,59,Cable de red 1m ,31619289,Ronald,5/5/2025,3,
44,MEMORY 16 GB DDR4 LAPTOP,,5,5,0,,36,MEMORY 8 GB DESKTOP,No ticket,Ronald ,5/26/2025,1,,60,Cable de red 2m ,31619290,Ronald,5/6/2025,3,
