EQUIPMENT,,,,,,,OUT,,,,,,,IN,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,BRAND,IN,OUT,AVAILABLE,,PRODUCT CODE,EQUIPMENT DESCRIPTION,Ticket ,TECH,DATE,QUANTITY,,PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,
,,,,,,,42,MEMORY 8GB LAPTOP,31417001,Andres A,3/17/2025,1,,62,Cable de red  5m ,Update,Melanie,11/19/2024,41,
,,,,,,,86,Adaptador de red RJ45 a USB,31417001,Andres A,3/17/2025,1,,63,Cable de red 3m ,Update,Melanie,11/19/2024,16,
,,,,,,,6,HEADSET-VARIOS 3.5,Torre 2,Melanie ,3/17/2025,2,,64,Cable de red 6m ,Update,Melanie,11/19/2024,1,
,,,,,,,6,HEADSET-VARIOS 3.5,FORUM ,Melanie ,3/17/2025,4,,65,Cargador de wyse 19.5V - 6.7A,Update,Melanie,11/19/2024,5,
,,,,,,,38,SSD DATA DRIVE 1 TB M2,No ticket ,Pablo ,3/16/2025,1,,66,Cargador de wyse 19.5V - 3.34A,Update,Melanie,11/19/2024,1,
,,,,,,,8,KEYBOARD COMBO,31398039,Andres A,3/15/2025,1,,67,Cargador de wyse 19V -3.42A,Update,Melanie,11/19/2024,6,
,,,,,,,31,DISPLAYPORT ADAPTER,31394348,Pablo,3/15/2025,1,,68,Cargador 12 - 2A,Update,Melanie,11/19/2024,10,
,,,,,,,14,MOUSE NEW,31393362,Pablo ,3/13/2025,1,,69,Cargador 19V - 1.31A,Update,Melanie,11/19/2024,5,
,,,,,,,23,HUB USB WITH RJ45 PORT,FORUM ,Melanie,3/14/2025,1,,70,Cable HDMI,Update,Melanie,11/19/2024,17,
,,,,,,,16,PHONE,31381439,Stiven,3/14/2025,1,,71,Cable DVI - HDMI,Update,Melanie,11/19/2024,25,
,,,,,,,11,MONITORS USED,31381329,Stiven,3/14/2025,1,,72,Colochos de headset,Update,Melanie,11/19/2024,21,
,,,,,,,78,Handset,31376207,Jose D ,3/13/2025,1,,23,HUB USB WITH RJ45 PORT,Update,Melanie,11/19/2024,12,
,,,,,,,23,HUB USB WITH RJ45 PORT,31372807,Andres A,3/13/2025,1,,74,not exist,Update,Melanie,11/19/2024,5,
,,,,,,,9,KEYBOARD USED,31371913,Andres A,3/13/2025,1,,75,Cargador PC Lenovo ,Update,Melanie,11/19/2024,14,
,,,,,,,21,MOUSE PAD,31352943,Jose D ,3/11/2025,1,,76,Cargador Monitor LG,Update,Melanie,11/19/2024,3,
,,,,,,,61,Cable de red 30cm ,31353585,Jose D ,3/11/2025,1,,77,Cargador Monitor Samsung ,Update,Melanie,11/19/2024,3,
,,,,,,,31,DISPLAYPORT ADAPTER,31312103,Jose D ,3/11/2025,1,,51,Cable de corriente (Cargador),Update,Melanie,11/19/2024,11,
,,,,,,,70,Cable HDMI,Update ,Melanie ,3/10/2025,1,,50,Cable de corriente (Compu) ,Update ,Melanie,11/19/2024,15,
,,,,,,,32,KEYBOARD ERGONOMIC,Update ,Melanie ,3/10/2025,1,,42,MEMORY 8GB LAPTOP,Update,Melanie,11/18/2024,6,
,,,,,,,30,WEB CAM,FORUM ,Melanie ,3/10/2025,5,,42,MEMORY 8GB LAPTOP,Update,Andres A,11/17/2024,1,
,,,,,,,31,DISPLAYPORT ADAPTER,Update,Melanie ,3/10/2025,2,,5,HEADSET-PLANTRONICS,Update,Pablo,11/8/2024,3,
,,,,,,,29,DUAL HDMI ADAPTER,Update,Melanie ,3/10/2025,2,,11,MONITORS USED,Update,Pablo,11/7/2024,1,
,,,,,,,23,HUB USB WITH RJ45 PORT,Update,Melanie ,3/10/2025,11,,21,MOUSE PAD,Update,Pablo,11/7/2024,29,
,,,,,,,22,EARPADS,Update ,Melanie ,3/10/2025,1,,16,PHONE,Update,Pablo,11/7/2024,14,
,,,,,,,20,LAPTOPS NEW,Update ,Melanie ,3/10/2025,2,,10,MONITORS NEW,Update,Pablo,11/7/2024,20,
,,,,,,,12,MOUSE USED,Update ,Melanie ,3/10/2025,7,,1,WYSE,Update,Pablo,11/7/2024,14,
,,,,,,,8,KEYBOARD COMBO,Update ,Melanie ,3/10/2025,16,,26,UPS USED,30088719,Stiven,11/1/2024,1,
,,,,,,,7,KEYBOARD NEW,Update ,Melanie ,3/10/2025,1,,12,MOUSE USED,Update,Pablo,11/1/2024,1,
,,,,,,,6,HEADSET-VARIOS 3.5,Update ,Melanie ,3/10/2025,2,,9,KEYBOARD USED,Update,Pablo,11/1/2024,1,
,,,,,,,5,HEADSET-PLANTRONICS,Update ,Melanie ,3/10/2025,1,,11,MONITORS USED,Update,Pablo,10/26/2024,2,
,,,,,,,9,KEYBOARD USED,31345080,Andres A,3/9/2025,1,,16,PHONE,Update,Pablo,10/23/2024,1,
,,,,,,,18,SPEAKERS,31341863,Andres A,3/9/2025,1,,6,HEADSET-VARIOS 3.5,Update,Andres A,10/23/2024,1,
,,,,,,,8,KEYBOARD COMBO,31328418,Andres A,3/8/2025,1,,19,POWER STRIP,Update,Andres A,10/23/2024,2,
,,,,,,,31,DISPLAYPORT ADAPTER,31328418,Andres A,3/8/2025,3,,26,UPS USED,Update,Andres A,10/23/2024,4,
,,,,,,,63,Cable de red 3m ,31328418,Andres A,3/8/2025,1,,3,DESKTOP-HP,Update,Pablo,10/23/2024,5,
,,,,,,,16,PHONE,31328418,Andres A,3/8/2025,1,,37,MEMORY 16 GB DESKTOP,Update,Pablo,10/16/2024,2,
,,,,,,,1,WYSE,31328418,Andres A,3/8/2025,1,,30,WEB CAM,Update,Pablo,10/16/2024,3,
,,,,,,,11,MONITORS USED,31328418,Andres A,3/8/2025,3,,5,HEADSET-PLANTRONICS,Update,Pablo,10/16/2024,25,
,,,,,,,2,DESKTOP-LENOVO,No ticket,Andres A,3/7/2025,1,,12,MOUSE USED,Update,Jose D,10/15/2024,1,
,,,,,,,5,HEADSET-PLANTRONICS,31312103,Andres A,3/6/2025,1,,9,KEYBOARD USED,Update,Pablo,10/9/2024,2,
,,,,,,,5,HEADSET-PLANTRONICS,31297352,Stiven,3/6/2025,2,,5,HEADSET-PLANTRONICS,Update,Pablo,10/9/2024,2,
,,,,,,,8,KEYBOARD COMBO,Torre 2,Andres A,3/5/2025,2,,1,WYSE,Update,Pablo,10/1/2024,1,
,,,,,,,1,WYSE,Torre 2,Andres A,3/5/2025,2,,5,HEADSET-PLANTRONICS,Update,Pablo,9/30/2024,2,
,,,,,,,16,PHONE,31300737,Andres A,3/5/2025,1,,20,LAPTOPS NEW,Update,Pablo,9/25/2024,5,
,,,,,,,1,WYSE,31297352,Stiven,3/5/2025,1,,19,POWER STRIP,Update,Pablo,9/24/2024,1,
,,,,,,,16,PHONE,31297352,Stiven,3/5/2025,1,,31,DISPLAYPORT ADAPTER,Update,Andres A,9/24/2024,3,
,,,,,,,16,PHONE,31295615,Jose D ,3/4/2025,1,,14,MOUSE NEW,Update,Pablo,9/23/2024,20,
,,,,,,,8,KEYBOARD COMBO,1296544,Melanie ,3/4/2025,1,,31,DISPLAYPORT ADAPTER,Update,Pablo,9/23/2024,20,
,,,,,,,21,MOUSE PAD,FORUM ,Melanie,3/4/2025,10,,49,Pasta Termica,Update,Pablo,9/23/2024,2,
,,,,,,,18,SPEAKERS,31289322,Stiven,3/3/2025,1,,33,USB FLASH DRIVE 64 GB,Update,Pablo,9/23/2024,3,
,,,,,,,8,KEYBOARD COMBO,31281935,Stiven,3/2/2025,1,,48,Ventiladores,Update,Pablo,9/23/2024,1,
,,,,,,,70,Cable HDMI,31272994,Ronald,3/1/2025,1,,28,SSD 2.5 256 GB,Update,Pablo,9/23/2024,5,
,,,,,,,31,DISPLAYPORT ADAPTER,31272994,Ronald,3/1/2025,2,,6,HEADSET-VARIOS 3.5,Update,Pablo,9/23/2024,7,
,,,,,,,6,HEADSET-VARIOS 3.5,31268666,Stiven,3/1/2025,1,,21,MOUSE PAD,Update,Pablo,9/23/2024,15,
,,,,,,,31,DISPLAYPORT ADAPTER,31267888,Ronald,3/1/2025,4,,47,XP-PEN para Imac,Update,Andres A,9/22/2024,1,
,,,,,,,31,DISPLAYPORT ADAPTER,31258385,Pablo ,2/28/2025,1,,5,HEADSET-PLANTRONICS,Update,Andres A,9/22/2024,4,
,,,,,,,70,Cable HDMI,31250751,Ronald ,2/28/2024,1,,9,KEYBOARD USED,Update,Andres A,9/19/2024,4,
,,,,,,,24,CHARGES AC LENOVO,31220832,Jose D ,2/26/2025,1,,9,KEYBOARD USED,Update,Andres A,9/15/2024,5,
,,,,,,,16,PHONE,31235924,Jose D ,2/26/2025,1,,11,MONITORS USED,Update,Andres A,9/15/2024,1,
,,,,,,,1,WYSE,31235924,Jose D ,2/27/2025,1,,12,MOUSE USED,Update,Andres A,9/15/2024,10,
,,,,,,,63,Cable de red 3m ,31235924,Jose D ,2/28/2025,2,,14,MOUSE NEW,Update,Andres A,9/15/2024,3,
,,,,,,,31,DISPLAYPORT ADAPTER,31235924,Jose D ,3/1/2025,2,,1,WYSE,Update,Pablo,7/22/2024,16,
,,,,,,,10,MONITORS NEW,31235924,Jose D ,3/2/2025,2,,2,DESKTOP-LENOVO,Update,Pablo,7/22/2024,12,
,,,,,,,8,KEYBOARD COMBO,31235924,Jose D ,3/3/2025,1,,3,DESKTOP-HP,Update,Pablo,7/22/2024,8,
,,,,,,,26,UPS USED,31223875,Ronald ,2/24/2025,1,,4,HANDPUNCH,Update,Pablo,7/22/2024,3,
,,,,,,,14,MOUSE NEW,31223525,Ronald ,2/24/2025,1,,5,HEADSET-PLANTRONICS,Update,Pablo,7/22/2024,12,
,,,,,,,9,KEYBOARD USED,31217465,Jose D ,2/23//2025,1,,6,HEADSET-VARIOS 3.5,Update,Pablo,7/22/2024,15,
,,,,,,,70,Cable HDMI,31215067,Ronald ,2/23/2025,1,,7,KEYBOARD NEW,Update,Pablo,7/22/2024,41,
,,,,,,,70,Cable HDMI,31216372,Ronald,2/23/2025,1,,8,KEYBOARD COMBO,Update,Pablo,7/22/2024,7,
,,,,,,,31,DISPLAYPORT ADAPTER,31216372,Ronald,2/23/2025,2,,9,KEYBOARD USED,Update,Pablo,7/22/2024,15,
,,,,,,,16,PHONE,31215182,Pablo ,2/23/2025,1,,10,MONITORS NEW,Update,Pablo,7/22/2024,6,
,,,,,,,5,HEADSET-PLANTRONICS,31207999,Stiven,2/22/2025,3,,11,MONITORS USED,Update,Pablo,7/22/2024,17,
,,,,,,,23,HUB USB WITH RJ45 PORT,31197741,Andres A,2/21/2025,1,,12,MOUSE USED,Update,Pablo,7/22/2024,13,
,,,,,,,1,WYSE,31197941,Pablo ,2/21/2025,1,,13,SECURITY WEBCAM,Update,Pablo,7/22/2024,2,
,,,,,,,62,Cable de red  5m ,No ticket ,Jose D ,2/19/2025,1,,14,MOUSE NEW,Update,Pablo,7/22/2024,1,
,,,,,,,16,PHONE,No ticket ,Jose D ,2/19/2025,1,,15,LAPTOPS USED,Update,Pablo,7/22/2024,10,
,,,,,,,3,DESKTOP-HP,No ticket ,Jose D ,2/19/2025,1,,16,PHONE,Update,Pablo,7/22/2024,30,
,,,,,,,8,KEYBOARD COMBO,31179324,Ronald,2/19/2025,1,,17,TABLETS,Update,Pablo,7/22/2024,2,
,,,,,,,31,DISPLAYPORT ADAPTER,31169992,Stiven,2/18/2025,1,,18,SPEAKERS,Update,Pablo,7/22/2024,4,
,,,,,,,6,HEADSET-VARIOS 3.5,31046269,Jose D ,2/17/2025,1,,19,POWER STRIP,Update,Pablo,7/22/2024,10,
,,,,,,,5,HEADSET-PLANTRONICS,31136293,Melanie,2/14/2025,1,,20,LAPTOPS NEW,Update,Pablo,7/22/2024,0,
,,,,,,,25,UPS NEW,31140718,Stiven,2/15/2025,1,,21,MOUSE PAD,Update,Pablo,7/22/2024,14,
,,,,,,,5,HEADSET-PLANTRONICS,,Stiven,2/14/2025,1,,22,EARPADS,Update,Pablo,7/22/2024,13,
,,,,,,,31,DISPLAYPORT ADAPTER,31135233,Pablo ,2/14/2025,1,,23,HUB USB WITH RJ45 PORT,Update,Pablo,7/22/2024,14,
,,,,,,,16,PHONE,31058560,Andres A,2/13/2025,1,,24,CHARGES AC LENOVO,Update,Pablo,7/22/2024,5,
,,,,,,,12,MOUSE USED,31128402,Ronald ,2/13/2025,1,,25,UPS NEW,Update,Pablo,7/22/2024,4,
,,,,,,,9,KEYBOARD USED,31128402,Ronald ,2/13/2025,1,,26,UPS USED,Update,Pablo,7/22/2024,13,
,,,,,,,15,LAPTOPS USED,31110734,Pablo ,2/13/2025,1,,27,SSD SATA 512 GB,Update,Pablo,7/22/2024,2,
,,,,,,,25,UPS NEW,31126790,Ronald,2/13/2025,1,,28,SSD 2.5 256 GB,Update,Pablo,7/22/2024,4,
,,,,,,,1,WYSE,,Pablo ,2/12/2025,1,,29,DUAL HDMI ADAPTER,Update,Pablo,7/22/2024,10,
,,,,,,,10,MONITORS NEW,,Pablo ,2/12/2025,1,,30,WEB CAM,Update,Pablo,7/22/2024,1,
,,,,,,,14,MOUSE NEW,31111363,Andres A,2/11/2025,1,,31,DISPLAYPORT ADAPTER,Update,Pablo,7/22/2024,12,
,,,,,,,31,DISPLAYPORT ADAPTER,31109661,Pablo ,2/11/2025,2,,32,KEYBOARD ERGONOMIC,Update,Pablo,7/22/2024,2,
,,,,,,,3,DESKTOP-HP,No ticket,Ronald ,2/11/2025,1,,33,USB FLASH DRIVE 64 GB,Update,Pablo,7/22/2024,1,
,,,,,,,10,MONITORS NEW,No ticket,Ronald ,2/11/2025,3,,34,WRISTPAD,Update,Pablo,7/22/2024,9,
,,,,,,,16,PHONE,31104814,Jose D ,2/10/2025,1,,35,MEMORY 4GB DDR4 LAPTOP,Update,Pablo,7/22/2024,8,
,,,,,,,8,KEYBOARD COMBO,31104342,Stiven,2/10/2025,1,,36,MEMORY 8 GB DESKTOP,Update,Pablo,7/22/2024,2,
,,,,,,,26,UPS USED,No ticket ,Ronald,2/10/2025,1,,37,MEMORY 16 GB DESKTOP,Update,Pablo,7/22/2024,1,
,,,,,,,23,HUB USB WITH RJ45 PORT,FORUM ,Andres S ,2/9/2025,2,,38,SSD DATA DRIVE 1 TB M2,Update,Pablo,7/22/2024,4,
,,,,,,,5,HEADSET-PLANTRONICS,31089807,Melanie ,2/9/2025,4,,39,MEMORY 4GB DDR3 LAPTOP,Update,Pablo,7/22/2024,10,
,,,,,,,16,PHONE,31087955,Jose D ,2/9/2025,1,,40,DISCO MECANICO,Update,Pablo,7/22/2024,34,
,,,,,,,31,DISPLAYPORT ADAPTER,31073945,Pablo ,2/9/2025,1,,41,HEADSET USADOS,Update,Pablo,7/23/2024,7,
,,,,,,,70,Cable HDMI,31091502,Andres A,2/9/2025,1,,8,KEYBOARD COMBO,Update,Pablo,7/29/2024,5,
,,,,,,,16,PHONE,No ticket ,Jose D ,2/8/2025,1,,5,HEADSET-PLANTRONICS,Update,Pablo,7/31/2024,20,
,,,,,,,8,KEYBOARD COMBO,31065648,Pablo ,2/7/2025,1,,10,MONITORS NEW,Update,Pablo,8/3/2024,18,
,,,,,,,14,MOUSE NEW, 31058327,Jose D ,2/7/2025,1,,31,DISPLAYPORT ADAPTER,Update,Pablo,8/3/2024,15,
,,,,,,,70,Cable HDMI,31044163,Andres A,2/6/2025,1,,30,WEB CAM,Update,Pablo,8/3/2024,7,
,,,,,,,31,DISPLAYPORT ADAPTER,31044163,Andres A,2/6/2025,1,,43,SSD SATA 240 GB,Update,Pablo,8/3/2024,4,
,,,,,,,10,MONITORS NEW,31040121,Andres A,2/5/2025,1,,18,SPEAKERS,Update,Pablo,8/3/2024,5,
,,,,,,,1,WYSE,31040121,Andres A,2/5/2025,1,,37,MEMORY 16 GB DESKTOP,Update,Pablo,8/3/2024,5,
,,,,,,,8,KEYBOARD COMBO,31038834,Melanie ,2/5/2025,1,,14,MOUSE NEW,Update,Pablo,8/3/2024,20,
,,,,,,,7,KEYBOARD NEW,31025331,Pablo ,2/4/2025,1,,11,MONITORS USED,Update,Andres A,8/3/2024,2,
,,,,,,,31,DISPLAYPORT ADAPTER,No ticket ,Pablo ,2/4/2025,1,,44,MEMORY 16 GB DDR4 LAPTOP,Update,Pablo,8/6/2024,5,
,,,,,,,1,WYSE,No ticket ,Pablo ,2/4/2025,1,,1,WYSE,Update,Pablo,8/6/2024,25,
,,,,,,,11,MONITORS USED,31024388,Jose D ,2/4/2025,1,,5,HEADSET-PLANTRONICS,Update,Pablo,8/6/2024,2,
,,,,,,,8,KEYBOARD COMBO,31025331,Pablo ,2/4/2025,1,,9,KEYBOARD USED,Update,Pablo,8/6/2024,2,
,,,,,,,14,MOUSE NEW,31014316,Pablo ,2/3/2025,1,,12,MOUSE USED,Update,Pablo,8/6/2024,2,
,,,,,,,20,LAPTOPS NEW,31003730,Andres A,2/2/2025,1,,10,MONITORS NEW,Update,Pablo,8/19/2024,35,
,,,,,,,80,not exist,30989779,Andres A,2/1/2025,2,,31,DISPLAYPORT ADAPTER,Update,Pablo,8/19/2024,30,
,,,,,,,8,KEYBOARD COMBO,No ticket ,Jose D ,1/30/2025,1,,45,SUPRESORES DE PICO,Update,Pablo,8/19/2024,10,
,,,,,,,31,DISPLAYPORT ADAPTER,No ticket ,Jose D ,1/29/2025,2,,2,DESKTOP-LENOVO,Update,Pablo,8/22/2024,2,
,,,,,,,59,Cable de red 1m ,No ticket ,Stiven,1/29/2025,1,,20,LAPTOPS NEW,Update,Pablo,9/13/2024,5,
,,,,,,,63,Cable de red 3m ,No ticket ,Stiven,1/29/2025,1,,6,HEADSET-VARIOS 3.5,Update,Pablo,9/13/2024,8,
,,,,,,,10,MONITORS NEW,No ticket ,Stiven,1/29/2025,1,,46,not exist,Update,Pablo,9/16/2024,6,
,,,,,,,1,WYSE,No ticket ,Stiven,1/29/2025,1,,19,POWER STRIP,Update,Andres A,10/15/2024,1,
,,,,,,,14,MOUSE NEW,No ticket ,Melanie,1/29/2025,1,,65,Cargador de wyse 19.5V - 6.7A,Update,Melanie,,20,
,,,,,,,21,MOUSE PAD,No ticket ,Melanie ,1/28/2025,1,,66,Cargador de wyse 19.5V - 3.34A,Update,Melanie,,30,
,,,,,,,20,LAPTOPS NEW,No ticket ,Melanie ,1/28/2025,1,,67,Cargador de wyse 19V -3.42A,Update,Melanie,,30,
,,,,,,,31,DISPLAYPORT ADAPTER,30938364,Pablo,1/27/2025,1,,,,,,,,
,,,,,,,60,Cable de red 2m ,30938364,Pablo,1/27/2025,1,,80,not exist,Update ,Melanie ,,73,
,,,,,,,59,Cable de red 1m ,30938364,Pablo,1/27/2025,1,,86,Adaptador de red RJ45 a USB,,,,8,
,,,,,,,8,KEYBOARD COMBO,30938364,Pablo,1/27/2025,1,,69,Cargador 19V - 1.31A,Update,Melanie,,2,
,,,,,,,1,WYSE,30938364,Pablo,1/27/2025,1,,,,,,,,
,,,,,,,10,MONITORS NEW,30938364,Pablo,1/27/2025,1,,,,,,,,
,,,,,,,9,KEYBOARD USED,30929530,Jose D ,1/26/2025,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,30923809,Jose D ,1/26/2025,1,,,,,,,,
,,,,,,,11,MONITORS USED,30923809,Jose D ,1/26/2025,1,,,,,,,,
,,,,,,,6,HEADSET-VARIOS 3.5,30912809,Jose D ,1/25/2025,1,,,,,,,,
,,,,,,,21,MOUSE PAD,Office 10th floor,Pablo ,1/22/2025,1,,,,,,,,
,,,,,,,60,Cable de red 2m ,Office 10th floor,Pablo,1/22/2025,1,,,,,,,,
,,,,,,,16,PHONE,Office 10th floor,Pablo ,1/22/2025,1,,,,,,,,
,,,,,,,9,KEYBOARD USED,Office 10th floor,Pablo ,1/22/2025,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,Office 10th floor,Pablo ,1/22/2025,2,,,,,,,,
,,,,,,,1,WYSE,Office 10th floor,Pablo,1/22/2025,1,,,,,,,,
,,,,,,,8,KEYBOARD COMBO,30873080,Stiven,1/21/2025,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,30866071,Pablo,1/21/2025,1,,,,,,,,
,,,,,,,8,KEYBOARD COMBO,30864564,Stiven,1/20/2025,1,,,,,,,,
,,,,,,,21,MOUSE PAD,,Stiven,1/17/2025,4,,,,,,,,
,,,,,,,10,MONITORS NEW,,Melanie ,1/17/2025,2,,,,,,,,
,,,,,,,1,WYSE,,Melanie ,1/17/2025,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,,Melanie ,1/17/2025,2,,,,,,,,
,,,,,,,9,KEYBOARD USED,,Melanie ,1/17/2025,1,,,,,,,,
,,,,,,,14,MOUSE NEW,,Melanie ,1/17/2025,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,,Melanie ,1/17/2025,2,,,,,,,,
,,,,,,,59,Cable de red 1m ,,Melanie ,1/17/2025,1,,,,,,,,
,,,,,,,63,Cable de red 3m ,,Melanie ,1/17/2025,1,,,,,,,,
,,,,,,,17,TABLETS,Update ,Melanie,1/17/2025,2,,,,,,,,
,,,,,,,16,PHONE,,Andres A,1/17/2025,1,,,,,,,,
,,,,,,,16,PHONE,,Broken ,1/17/2025,2,,,,,,,,
,,,,,,,16,PHONE,,Andres A,1/17/2025,1,,,,,,,,
,,,,,,,16,PHONE,,Andres A,1/17/2025,1,,,,,,,,
,,,,,,,16,PHONE,30810591,Pablo ,1/15/2025,1,,,,,,,,
,,,,,,,14,MOUSE NEW,FORUM,Melanie,1/14/2025,2,,,,,,,,
,,,,,,,14,MOUSE NEW,Update,Melanie,1/14/2025,3,,,,,,,,
,,,,,,,9,KEYBOARD USED,30801638,Melanie,1/14/2025,2,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,30793802,Pablo ,1/13/2025,1,,,,,,,,
,,,,,,,14,MOUSE NEW,30794226,Stiven,1/13/2025,1,,,,,,,,
,,,,,,,6,HEADSET-VARIOS 3.5,FORUM,Melanie,1/13/2025,2,,,,,,,,
,,,,,,,6,HEADSET-VARIOS 3.5,30773764,Pablo ,1/13/2025,2,,,,,,,,
,,,,,,,78,Handset,30776393,Pablo,1/13/2025,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,Torre 2,Andres A,1/9/2025,8,,,,,,,,
,,,,,,,63,Cable de red 3m ,Torre 2,Andres A,1/9/2025,8,,,,,,,,
,,,,,,,59,Cable de red 1m ,Torre 2,Andres A,1/9/2025,18,,,,,,,,
,,,,,,,14,MOUSE NEW,30746733,Stiven,1/9/2025,1,,,,,,,,
,,,,,,,7,KEYBOARD NEW,30746733,Stiven,1/9/2025,3,,,,,,,,
,,,,,,,5,HEADSET-PLANTRONICS,Torre 2,Stiven,1/8/2025,3,,,,,,,,
,,,,,,,16,PHONE,Torre 2,Stiven,1/8/2025,3,,,,,,,,
,,,,,,,1,WYSE,Torre 2,Stiven,1/8/2025,2,,,,,,,,
,,,,,,,11,MONITORS USED,30731165,Jose D ,1/7/2025,1,,,,,,,,
,,,,,,,16,PHONE,30729339,Jose D ,1/7/2025,1,,,,,,,,
,,,,,,,8,KEYBOARD COMBO,30728540,Stiven,1/7/2024,1,,,,,,,,
,,,,,,,3,DESKTOP-HP,30728540,Stiven,1/7/2025,1,,,,,,,,
,,,,,,,16,PHONE,30728461,Jose D ,1/7/2025,1,,,,,,,,
,,,,,,,2,DESKTOP-LENOVO,30719488,Pablo,1/6/2025,1,,,,,,,,
,,,,,,,22,EARPADS,30719965,Stiven,1/6/2025,1,,,,,,,,
,,,,,,,7,KEYBOARD NEW,30705872,Stiven,1/5/2025,1,,,,,,,,
,,,,,,,11,MONITORS USED,update,Melanie,1/3/2025,1,,,,,,,,
,,,,,,,16,PHONE,30685194,Pablo,1/3/2025,1,,,,,,,,
,,,,,,,16,PHONE,30675732,Andres S,1/1/2025,1,,,,,,,,
,,,,,,,22,EARPADS,No ticket,Andres S,12/28/2024,2,,,,,,,,
,,,,,,,5,HEADSET-PLANTRONICS,30597505,Andres S,12/25/2024,3,,,,,,,,
,,,,,,,2,DESKTOP-LENOVO,No ticket,Stiven,12/26/2024,1,,,,,,,,
,,,,,,,5,HEADSET-PLANTRONICS,30575035,Jose D ,12/21/2024,1,,,,,,,,
,,,,,,,10,MONITORS NEW,30565085,Pablo,12/21/2024,1,,,,,,,,
,,,,,,,8,KEYBOARD COMBO,30560566,Stiven,12/21/2024,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,30560566,Stiven,12/21/2024,2,,,,,,,,
,,,,,,,16,PHONE,30560566,Stiven,12/21/2024,1,,,,,,,,
,,,,,,,59,Cable de red 1m ,30560566,Stiven,12/21/2024,1,,,,,,,,
,,,,,,,62,Cable de red  5m ,30560566,Stiven,12/21/2024,1,,,,,,,,
,,,,,,,10,MONITORS NEW,30560566,Stiven,12/21/2024,2,,,,,,,,
,,,,,,,1,WYSE,30560566,Stiven,12/21/2024,1,,,,,,,,
,,,,,,,10,MONITORS NEW,30557368,Jose D ,12/21/2024,1,,,,,,,,
,,,,,,,10,MONITORS NEW,30537165,Stiven,12/19/2024,1,,,,,,,,
,,,,,,,11,MONITORS USED,30536879,Stiven,12/19/2024,1,,,,,,,,
,,,,,,,10,MONITORS NEW,30517799,Pablo ,12/17/2024,1,,,,,,,,
,,,,,,,1,WYSE,30527172,Andres A,12/18/2024,1,,,,,,,,
,,,,,,,16,PHONE,30528769,Andres A,12/18/2024,2,,,,,,,,
,,,,,,,15,LAPTOPS USED,30527172,Andres A,12/18/2024,1,,,,,,,,
,,,,,,,12,MOUSE USED,no ticket,Andres A,12/18/2024,1,,,,,,,,
,,,,,,,56,Cable VGA,no ticket,Andres A,12/18/2024,1,,,,,,,,
,,,,,,,9,KEYBOARD USED,no ticket,Andres A,12/18/2024,1,,,,,,,,
,,,,,,,2,DESKTOP-LENOVO,no ticket,Andres A,12/18/2024,1,,,,,,,,
,,,,,,,14,MOUSE NEW,30505442,Jose D ,12/16/2024,1,,,,,,,,
,,,,,,,1,WYSE,30479182,Jose D ,12/16/2024,4,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,30479182,Jose D ,12/16/2024,1,,,,,,,,
,,,,,,,21,MOUSE PAD,30490120,Jose D ,12/14/2024,1,,,,,,,,
,,,,,,,16,PHONE,30478694,Jose D ,12/14/2024,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,30485414,Stiven,12/14/2024,1,,,,,,,,
,,,,,,,14,MOUSE NEW,30481817,Stiven,12/13/2024,1,,,,,,,,
,,,,,,,14,MOUSE NEW,30475945,Jose D ,12/13/2024,2,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,30456567,Stiven,12/11/2024,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,No ticket,Pablo,12/10/2024,1,,,,,,,,
,,,,,,,7,KEYBOARD NEW,No ticket,Pablo ,12/10/2024,1,,,,,,,,
,,,,,,,16,PHONE, 30433280,Jose D ,12/9/2024,1,,,,,,,,
,,,,,,,14,MOUSE NEW,30434053,Andres A,12/8/2024,1,,,,,,,,
,,,,,,,31,DISPLAYPORT ADAPTER,30411737,Stiven,12/6/2024,1,,,,,,,,
,,,,,,,1,WYSE,30411737,Stiven,12/6/2024,1,,,,,,,,
,,,,,,,9,KEYBOARD USED,30403046,Stiven,12/5/2024,1,,,,,,,,
,,,,,,,9,KEYBOARD USED,Update,Melanie,12/5/2024,2,,,,,,,,
,,,,,,,1,WYSE,Update ,Melanie,12/5/2024,4,,,,,,,,
